2001-12,BBDC4,ELET6,CMIG4,ELET3,CPLE6,CSNA3,GGBR4,SBSP3,BRAP4,GOAU4,BBDC3,BBAS3,ETER3,FESA4,RAPT4,PETR4,ALPA4,PETR3,ITSA4,ROMI3
2002-1,ELET6,CMIG4,BBDC4,ELET3,CPLE6,CSNA3,GGBR4,SBSP3,BRAP4,BBDC3,GOAU4,BBAS3,ETER3,PETR4,FESA4,ALPA4,RAPT4,PETR3,MYPK3,ITSA4
2002-2,BBDC4,ELET6,CMIG4,ELET3,CSNA3,CPLE6,GGBR4,SBSP3,BRAP4,GOAU4,BBDC3,BBAS3,ETER3,PETR4,FESA4,SHUL4,ALPA4,PETR3,ITSA4,RAPT4
2002-3,BBDC4,CMIG4,ELET6,CSNA3,CPLE6,ELET3,GGBR4,SBSP3,BBDC3,BRAP4,GOAU4,BBAS3,ETER3,PETR4,ALPA4,RAPT4,FESA4,PETR3,VALE3,ITSA4
2002-4,BBDC4,CMIG4,ELET6,CSNA3,CPLE6,GGBR4,ELET3,SBSP3,GOAU4,BBAS3,BRAP4,BBDC3,FESA4,ETER3,ALPA4,PETR4,RAPT4,PETR3,VALE3,ITSA4
2002-5,BBDC4,ELET6,CSNA3,CMIG4,SBSP3,ELET3,CPLE6,GGBR4,BRAP4,GOAU4,BBDC3,BBAS3,ALPA4,ETER3,FESA4,PETR4,PETR3,RAPT4,VALE3,ITSA4
2002-6,BBDC4,ELET6,CMIG4,CSNA3,ELET3,CPLE6,GGBR4,SBSP3,BBDC3,BRAP4,GOAU4,BBAS3,ALPA4,PETR4,FESA4,ETER3,RAPT4,PETR3,VALE3,ITSA4
2002-7,BBDC4,CSNA3,ELET6,CMIG4,CPLE6,GGBR4,ELET3,BBDC3,SBSP3,GOAU4,BRAP4,BBAS3,ETER3,RAPT4,FESA4,PETR4,ALPA4,PETR3,VALE3,ITSA4
2002-8,BBDC4,ELET6,CMIG4,CSNA3,GGBR4,CPLE6,SBSP3,ELET3,BBDC3,GOAU4,BRAP4,BBAS3,ALPA4,ETER3,FESA4,PETR4,RAPT4,PETR3,VALE3,ITSA4
2002-9,BBDC4,ELET6,CMIG4,GGBR4,ELET3,CSNA3,CPLE6,SBSP3,BBAS3,GOAU4,ALPA4,BBDC3,BRAP4,BRKM5,RAPT4,FESA4,PETR4,ETER3,PETR3,VALE3
